"Tag","Oil_Tag","Total_Tag","Region_Tag","fl_name","variable","value","date_field"
"Total","","Total","Asia Oceania",2016-12-13,"Apr 16",7.94,2016-04-01
"LPG and ethane","LPG & Ethane","Non Total","OECD",2016-12-13,"Apr 16",5.01,2016-04-01
"Naphtha","Naphtha","Non Total","OECD",2016-12-13,"Apr 16",3.37,2016-04-01
"Motor gasoline","Motor Gasoline","Non Total","OECD",2016-12-13,"Apr 16",14.42,2016-04-01
"Jet and kerosene","Jet and kerosene","Non Total","OECD",2016-12-13,"Apr 16",4,2016-04-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","OECD",2016-12-13,"Apr 16",13.1,2016-04-01
"Residual fuel oil","Residual fuel oil","Non Total","OECD",2016-12-13,"Apr 16",2.32,2016-04-01
"Other products","Other Products","Non Total","OECD",2016-12-13,"Apr 16",3.84,2016-04-01
"Total","","Total ","OECD",2016-12-13,"Apr 16",46.06,2016-04-01
"LPG and ethane","LPG & Ethane","Non Total","Americas",2016-12-13,"Mar 16 vs latest month ",-0.3,2016-03-01
"Naphtha","Naphtha","Non Total","Americas",2016-12-13,"Mar 16 vs latest month ",0,2016-03-01
"Motor gasoline","Motor Gasoline","Non Total","Americas",2016-12-13,"Mar 16 vs latest month ",-0.23,2016-03-01
"Jet and kerosene","Jet and kerosene","Non Total","Americas",2016-12-13,"Mar 16 vs latest month ",-0.01,2016-03-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Americas",2016-12-13,"Mar 16 vs latest month ",-0.09,2016-03-01
"Residual fuel oil","Residual fuel oil","Non Total","Americas",2016-12-13,"Mar 16 vs latest month ",0.02,2016-03-01
"Other products","Other Products","Non Total","Americas",2016-12-13,"Mar 16 vs latest month ",0,2016-03-01
"Total","","Total","Americas",2016-12-13,"Mar 16 vs latest month ",-0.61,2016-03-01
"LPG and ethane","LPG & Ethane","Non Total","Europe",2016-12-13,"Mar 16 vs latest month ",0.02,2016-03-01
"Naphtha","Naphtha","Non Total","Europe",2016-12-13,"Mar 16 vs latest month ",-0.05,2016-03-01
"Motor gasoline","Motor Gasoline","Non Total","Europe",2016-12-13,"Mar 16 vs latest month ",0.09,2016-03-01
"Jet and kerosene","Jet and kerosene","Non Total","Europe",2016-12-13,"Mar 16 vs latest month ",0.06,2016-03-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Europe",2016-12-13,"Mar 16 vs latest month ",-0.04,2016-03-01
"Residual fuel oil","Residual fuel oil","Non Total","Europe",2016-12-13,"Mar 16 vs latest month ",-0.04,2016-03-01
"Other products","Other Products","Non Total","Europe",2016-12-13,"Mar 16 vs latest month ",0.01,2016-03-01
"Total","","Total ","Europe",2016-12-13,"Mar 16 vs latest month ",0.04,2016-03-01
"LPG and ethane","LPG & Ethane","Non Total","Asia Oceania",2016-12-13,"Mar 16 vs latest month ",0.02,2016-03-01
"Naphtha","Naphtha","Non Total","Asia Oceania",2016-12-13,"Mar 16 vs latest month ",0.02,2016-03-01
"Motor gasoline","Motor Gasoline","Non Total","Asia Oceania",2016-12-13,"Mar 16 vs latest month ",-0.03,2016-03-01
"Jet and kerosene","Jet and kerosene","Non Total","Asia Oceania",2016-12-13,"Mar 16 vs latest month ",-0.21,2016-03-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Asia Oceania",2016-12-13,"Mar 16 vs latest month ",-0.09,2016-03-01
"Residual fuel oil","Residual fuel oil","Non Total","Asia Oceania",2016-12-13,"Mar 16 vs latest month ",-0.09,2016-03-01
"Other products","Other Products","Non Total","Asia Oceania",2016-12-13,"Mar 16 vs latest month ",-0.01,2016-03-01
"Total","","Total","Asia Oceania",2016-12-13,"Mar 16 vs latest month ",-0.4,2016-03-01
"LPG and ethane","LPG & Ethane","Non Total","OECD",2016-12-13,"Mar 16 vs latest month ",-0.26,2016-03-01
"Naphtha","Naphtha","Non Total","OECD",2016-12-13,"Mar 16 vs latest month ",-0.04,2016-03-01
"Motor gasoline","Motor Gasoline","Non Total","OECD",2016-12-13,"Mar 16 vs latest month ",-0.18,2016-03-01
"Jet and kerosene","Jet and kerosene","Non Total","OECD",2016-12-13,"Mar 16 vs latest month ",-0.16,2016-03-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","OECD",2016-12-13,"Mar 16 vs latest month ",-0.23,2016-03-01
"Residual fuel oil","Residual fuel oil","Non Total","OECD",2016-12-13,"Mar 16 vs latest month ",-0.11,2016-03-01
"Other products","Other Products","Non Total","OECD",2016-12-13,"Mar 16 vs latest month ",0.01,2016-03-01
"Total","","Total ","OECD",2016-12-13,"Mar 16 vs latest month ",-0.97,2016-03-01
"LPG and ethane","LPG & Ethane","Non Total","Americas",2016-12-13,"Apr 15 vs latest month",-0.06,2015-04-01
"Naphtha","Naphtha","Non Total","Americas",2016-12-13,"Apr 15 vs latest month",0,2015-04-01
"Motor gasoline","Motor Gasoline","Non Total","Americas",2016-12-13,"Apr 15 vs latest month",0.14,2015-04-01
"Jet and kerosene","Jet and kerosene","Non Total","Americas",2016-12-13,"Apr 15 vs latest month",0.09,2015-04-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Americas",2016-12-13,"Apr 15 vs latest month",-0.15,2015-04-01
"Residual fuel oil","Residual fuel oil","Non Total","Americas",2016-12-13,"Apr 15 vs latest month",0.35,2015-04-01
"Other products","Other Products","Non Total","Americas",2016-12-13,"Apr 15 vs latest month",-0.14,2015-04-01
"Total","","Total","Americas",2016-12-13,"Apr 15 vs latest month",0.23,2015-04-01
"LPG and ethane","LPG & Ethane","Non Total","Europe",2016-12-13,"Apr 15 vs latest month",0.03,2015-04-01
"Naphtha","Naphtha","Non Total","Europe",2016-12-13,"Apr 15 vs latest month",0.04,2015-04-01
"Motor gasoline","Motor Gasoline","Non Total","Europe",2016-12-13,"Apr 15 vs latest month",-0.05,2015-04-01
"Jet and kerosene","Jet and kerosene","Non Total","Europe",2016-12-13,"Apr 15 vs latest month",0.03,2015-04-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Europe",2016-12-13,"Apr 15 vs latest month",0.23,2015-04-01
"Residual fuel oil","Residual fuel oil","Non Total","Europe",2016-12-13,"Apr 15 vs latest month",0.03,2015-04-01
"Other products","Other Products","Non Total","Europe",2016-12-13,"Apr 15 vs latest month",0.01,2015-04-01
"Total","","Total ","Europe",2016-12-13,"Apr 15 vs latest month",0.31,2015-04-01
"LPG and ethane","LPG & Ethane","Non Total","Asia Oceania",2016-12-13,"Apr 15 vs latest month",0.09,2015-04-01
"Naphtha","Naphtha","Non Total","Asia Oceania",2016-12-13,"Apr 15 vs latest month",-0.15,2015-04-01
"Motor gasoline","Motor Gasoline","Non Total","Asia Oceania",2016-12-13,"Apr 15 vs latest month",-0.01,2015-04-01
"Jet and kerosene","Jet and kerosene","Non Total","Asia Oceania",2016-12-13,"Apr 15 vs latest month",0.05,2015-04-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Asia Oceania",2016-12-13,"Apr 15 vs latest month",0.03,2015-04-01
"Residual fuel oil","Residual fuel oil","Non Total","Asia Oceania",2016-12-13,"Apr 15 vs latest month",0.01,2015-04-01
"Other products","Other Products","Non Total","Asia Oceania",2016-12-13,"Apr 15 vs latest month",-0.09,2015-04-01
"Total","","Total","Asia Oceania",2016-12-13,"Apr 15 vs latest month",-0.06,2015-04-01
"LPG and ethane","LPG & Ethane","Non Total","OECD",2016-12-13,"Apr 15 vs latest month",0.06,2015-04-01
"Naphtha","Naphtha","Non Total","OECD",2016-12-13,"Apr 15 vs latest month",-0.11,2015-04-01
"Motor gasoline","Motor Gasoline","Non Total","OECD",2016-12-13,"Apr 15 vs latest month",0.08,2015-04-01
"Jet and kerosene","Jet and kerosene","Non Total","OECD",2016-12-13,"Apr 15 vs latest month",0.17,2015-04-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","OECD",2016-12-13,"Apr 15 vs latest month",0.11,2015-04-01
"Residual fuel oil","Residual fuel oil","Non Total","OECD",2016-12-13,"Apr 15 vs latest month",0.39,2015-04-01
"Other products","Other Products","Non Total","OECD",2016-12-13,"Apr 15 vs latest month",-0.22,2015-04-01
"Total","","Total ","OECD",2016-12-13,"Apr 15 vs latest month",0.48,2015-04-01
