"Tag","Oil_Tag","Total_Tag","Region_Tag","fl_name","variable","value","date_field"
"Naphtha","Naphtha","Non Total","OECD",2016-12-13,"2015",3.41,2015-01-01
"Motor gasoline","Motor Gasoline","Non Total","OECD",2016-12-13,"2015",14.37,2015-01-01
"Jet and kerosene","Jet and kerosene","Non Total","OECD",2016-12-13,"2015",4.01,2015-01-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","OECD",2016-12-13,"2015",13.11,2015-01-01
"Residual fuel oil","Residual fuel oil","Non Total","OECD",2016-12-13,"2015",2.1,2015-01-01
"Other products","Other Products","Non Total","OECD",2016-12-13,"2015",4.09,2015-01-01
"Total","","Total ","OECD",2016-12-13,"2015",46.21,2015-01-01
"LPG and ethane","LPG & Ethane","Non Total","Americas",2016-12-13,"2Q15",2.98,2015-04-01
"Naphtha","Naphtha","Non Total","Americas",2016-12-13,"2Q15",0.31,2015-04-01
"Motor gasoline","Motor Gasoline","Non Total","Americas",2016-12-13,"2Q15",10.98,2015-04-01
"Jet and kerosene","Jet and kerosene","Non Total","Americas",2016-12-13,"2Q15",1.81,2015-04-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Americas",2016-12-13,"2Q15",5.09,2015-04-01
"Residual fuel oil","Residual fuel oil","Non Total","Americas",2016-12-13,"2Q15",0.45,2015-04-01
"Other products","Other Products","Non Total","Americas",2016-12-13,"2Q15",2.56,2015-04-01
"Total","","Total","Americas",2016-12-13,"2Q15",24.19,2015-04-01
"LPG and ethane","LPG & Ethane","Non Total","Europe",2016-12-13,"2Q15",1.13,2015-04-01
"Naphtha","Naphtha","Non Total","Europe",2016-12-13,"2Q15",1.09,2015-04-01
"Motor gasoline","Motor Gasoline","Non Total","Europe",2016-12-13,"2Q15",1.98,2015-04-01
"Jet and kerosene","Jet and kerosene","Non Total","Europe",2016-12-13,"2Q15",1.34,2015-04-01
"Gasoil/diesel oil","Gasoil/diesel oil","Non Total","Europe",2016-12-13,"2Q15",5.9,2015-04-01
"Residual fuel oil","Residual fuel oil","Non Total","Europe",2016-12-13,"2Q15",0.89,2015-04-01
